site_id,region,habitat,elevation_m,rainfall_mm,temperature_c,species_richness,survey_effort_h
SITE-0429,Central,Forest,828.7,1076.6,23.1,36,9.0
SITE-0430,Central,Forest,1161.3,1177.7,22.2,38,8.1
SITE-0431,South,Forest,639.1,1662.0,23.7,53,2.8
SITE-0432,Central,Forest,854.1,1543.4,24.1,51,15.0
SITE-0433,North,Grassland,54.6,945.9,29.8,27,6.8
SITE-0434,Central,Forest,758.4,1649.2,25.8,43,5.0
SITE-0435,North,Grassland,678.8,573.1,27.3,5,9.7
SITE-0436,Central,Grassland,981.7,1236.0,23.4,35,10.4
SITE-0437,Central,Grassland,377.5,881.6,27.8,21,6.2
SITE-0438,North,Forest,428.3,1281.3,29.0,42,5.0
SITE-0439,South,Forest,714.7,1253.3,22.5,45,4.9
SITE-0440,North,Forest,302.4,751.4,28.7,30,4.6
SITE-0441,North,Grassland,701.0,511.7,24.0,18,3.3
SITE-0442,North,Forest,175.8,620.3,28.5,26,5.4
SITE-0443,North,Forest,577.0,1020.1,28.1,35,6.6
SITE-0444,Central,Forest,825.0,1370.3,24.3,39,5.5
SITE-0445,Central,Grassland,712.0,1307.1,21.6,24,1.3
SITE-0446,South,Forest,291.5,1852.0,27.5,50,13.5
SITE-0447,North,Grassland,40.0,703.8,31.2,16,10.6
SITE-0448,South,Grassland,729.5,1151.8,25.5,28,4.0
SITE-0449,South,Forest,657.0,1408.6,26.7,50,8.8
SITE-0450,South,Grassland,784.9,1355.6,25.3,31,8.5
SITE-0451,North,Forest,399.8,863.5,27.6,36,7.3
SITE-0452,South,Grassland,580.7,1241.6,24.8,37,12.2
SITE-0453,South,Forest,409.8,1382.6,28.1,40,2.4
SITE-0454,Central,Forest,748.2,1297.7,25.0,48,6.8
SITE-0455,South,Grassland,595.9,1205.1,25.9,36,3.8
SITE-0456,Central,Forest,1027.3,1209.3,22.5,47,3.7
SITE-0457,South,Grassland,559.6,1049.7,26.6,33,10.0
SITE-0458,North,Grassland,376.6,899.6,27.1,31,5.1
SITE-0459,South,Forest,384.2,1488.7,28.6,44,3.5
SITE-0460,Central,Forest,889.3,1198.9,22.8,39,2.5
SITE-0461,North,Grassland,361.0,777.6,25.8,23,8.7
SITE-0462,Central,Forest,537.8,1485.2,25.2,49,9.4
SITE-0463,Central,Forest,1154.3,1808.5,23.4,48,5.8
SITE-0464,South,Forest,783.7,1604.9,23.3,45,4.8
SITE-0465,South,Grassland,687.3,1132.8,22.9,29,3.1
SITE-0466,North,Grassland,237.2,832.3,25.8,19,9.2
SITE-0467,South,Forest,296.1,1566.2,27.5,50,7.3
SITE-0468,North,Grassland,803.3,705.0,24.5,16,1.4
SITE-0469,Central,Grassland,777.3,1102.5,24.8,29,7.5
SITE-0470,South,Grassland,392.2,1135.9,26.3,27,6.3
SITE-0471,South,Grassland,534.9,1060.5,26.7,28,3.5
SITE-0472,South,Forest,728.9,1463.0,26.1,45,5.8
SITE-0473,South,Grassland,773.6,1368.5,27.0,28,8.1
SITE-0474,Central,Forest,609.4,1464.6,23.7,44,2.4
SITE-0475,North,Forest,125.8,689.0,28.6,28,11.5
SITE-0476,Central,Forest,1000.1,974.9,24.3,36,8.1
SITE-0477,Central,Forest,617.1,1323.8,23.3,40,9.2
SITE-0478,South,Grassland,786.4,1330.0,21.7,33,8.4
SITE-0479,Central,Grassland,516.8,1150.5,27.9,30,10.2
SITE-0480,Central,Forest,1051.7,1027.7,20.8,34,3.2
SITE-0481,South,Grassland,648.0,1111.1,25.2,22,5.1
SITE-0482,South,Forest,480.5,1451.2,23.8,59,8.2
SITE-0483,Central,Grassland,931.4,1001.7,24.7,23,6.2
SITE-0484,North,Forest,40.0,881.5,30.7,35,5.5
SITE-0485,South,Grassland,644.8,1428.2,25.3,44,7.4
SITE-0486,North,Forest,552.4,782.3,26.4,29,2.1
SITE-0487,South,Grassland,653.4,1385.5,25.7,42,15.0
SITE-0488,North,Grassland,197.6,754.6,28.2,19,5.2
SITE-0489,Central,Grassland,690.9,794.6,23.2,24,10.1
SITE-0490,North,Forest,451.9,769.4,25.4,25,4.5
SITE-0491,Central,Grassland,921.1,914.8,23.4,22,4.2
SITE-0492,Central,Forest,859.0,1060.6,24.0,30,5.8
SITE-0493,Central,Forest,748.7,1216.3,23.8,42,1.7
SITE-0494,Central,Forest,752.9,1272.8,25.4,36,4.6
SITE-0495,Central,Grassland,663.3,1350.2,24.3,46,3.7
SITE-0496,Central,Forest,1061.8,788.6,25.5,31,13.3
SITE-0497,Central,Grassland,881.5,1161.7,24.3,32,3.3
SITE-0498,North,Forest,71.8,768.1,30.1,29,2.2
SITE-0499,South,Grassland,483.6,1217.1,26.5,30,5.4
SITE-0500,Central,Grassland,634.2,1082.1,24.8,28,6.0
SITE-0501,North,Forest,764.8,1044.7,25.0,32,4.2
SITE-0502,South,Forest,1177.5,1162.6,24.7,42,2.2
SITE-0503,North,Grassland,496.3,685.4,26.1,15,2.5
SITE-0504,Central,Grassland,710.1,884.0,25.4,25,1.3
SITE-0505,Central,Grassland,856.7,803.9,25.8,30,8.2
SITE-0506,South,Grassland,614.6,1343.3,26.1,34,8.8
SITE-0507,South,Forest,379.6,1618.1,25.0,46,3.9
SITE-0508,North,Forest,373.4,984.9,26.8,34,7.1
SITE-0509,North,Grassland,40.0,892.8,29.1,24,6.3
SITE-0510,North,Grassland,457.2,617.6,25.0,21,4.0
SITE-0511,North,Grassland,208.6,923.7,30.1,22,8.3
SITE-0512,Central,Forest,675.1,900.4,24.4,30,3.6
SITE-0513,North,Grassland,261.1,544.2,26.2,16,3.1
SITE-0514,South,Grassland,251.6,1203.1,28.7,24,1.2
SITE-0515,Central,Forest,861.4,975.9,24.3,45,4.6
SITE-0516,Central,Forest,939.6,1044.8,23.5,42,4.1
SITE-0517,Central,Forest,336.4,1316.7,27.3,39,4.7
SITE-0518,South,Grassland,453.0,1000.4,27.2,25,2.5
SITE-0519,Central,Forest,867.8,1283.5,23.7,42,3.5
SITE-0520,South,Grassland,345.4,1246.4,27.1,30,8.0
SITE-0521,South,Forest,517.1,1458.0,26.7,46,7.6
SITE-0522,South,Forest,441.1,1882.9,26.1,43,7.6
SITE-0523,North,Grassland,649.1,640.4,26.4,13,5.3
SITE-0524,Central,Grassland,613.7,996.7,24.8,25,10.7
SITE-0525,South,Grassland,666.0,1273.6,25.3,37,7.3
SITE-0526,Central,Forest,789.7,1347.1,25.7,50,6.8
SITE-0527,Central,Grassland,777.2,1247.3,23.3,33,5.5
SITE-0528,North,Forest,738.0,1263.4,25.9,46,4.9
SITE-0529,Central,Forest,730.4,1396.9,23.7,43,3.9
SITE-0530,South,Forest,468.7,1376.4,26.0,45,7.4
SITE-0531,Central,Grassland,1082.0,712.0,22.2,24,8.1
SITE-0532,Central,Grassland,535.4,885.8,25.2,26,2.3
SITE-0533,Central,Forest,587.9,1336.0,25.7,36,5.2
SITE-0534,South,Grassland,212.8,1336.4,27.6,35,4.4
SITE-0535,North,Forest,622.4,1026.1,26.8,37,5.0
SITE-0536,South,Grassland,469.9,1412.5,27.6,31,6.4
SITE-0537,Central,Grassland,801.1,1058.6,24.0,33,14.3
SITE-0538,North,Grassland,285.3,609.7,27.5,11,4.9
SITE-0539,North,Forest,585.5,855.8,27.2,35,5.3
SITE-0540,South,Forest,1162.9,1025.2,21.1,37,8.4
SITE-0541,North,Forest,259.2,996.5,26.3,42,4.5
SITE-0542,North,Forest,240.0,824.8,28.8,27,1.5
SITE-0543,Central,Grassland,951.2,939.0,22.2,13,6.2
SITE-0544,Central,Grassland,707.2,1112.0,25.5,34,6.3
SITE-0545,North,Grassland,429.9,770.8,27.0,25,5.8
SITE-0546,Central,Forest,933.8,952.8,23.4,39,8.3
SITE-0547,Central,Forest,618.7,1263.9,25.5,34,7.4
SITE-0548,South,Grassland,568.0,1244.0,24.3,36,7.5
SITE-0549,South,Grassland,419.8,1413.3,28.7,34,15.0
SITE-0550,North,Grassland,249.6,634.5,26.1,13,4.3
SITE-0551,North,Grassland,676.5,1148.7,25.8,34,5.9
SITE-0552,Central,Forest,640.1,1260.4,27.2,39,2.6
SITE-0553,South,Grassland,741.7,1371.6,25.6,34,3.5
SITE-0554,Central,Forest,667.2,1222.4,27.0,40,5.7
SITE-0555,North,Forest,351.3,866.5,28.8,30,2.8
SITE-0556,Central,Forest,953.6,1291.6,22.7,40,6.0
SITE-0557,North,Grassland,307.5,762.0,27.9,25,7.7
SITE-0558,South,Forest,449.0,1350.0,27.6,41,3.6
SITE-0559,North,Forest,251.8,632.4,29.1,22,12.7
SITE-0560,Central,Grassland,987.6,1032.9,19.9,32,8.2
SITE-0561,South,Forest,668.5,1260.8,23.9,51,5.9
SITE-0562,South,Grassland,335.2,1444.8,29.0,31,4.7
SITE-0563,Central,Grassland,860.5,1098.0,22.4,32,10.0
SITE-0564,North,Forest,526.3,446.5,26.7,20,2.3
SITE-0565,North,Forest,807.7,1183.4,25.1,33,6.0
SITE-0566,North,Forest,65.5,879.8,30.2,29,7.1
SITE-0567,South,Forest,573.5,1695.8,26.0,47,1.0
SITE-0568,North,Forest,222.3,783.6,31.3,24,8.6
SITE-0569,South,Grassland,529.1,1131.5,25.3,28,8.2
SITE-0570,South,Forest,513.3,1516.0,25.5,48,2.9
SITE-0571,South,Forest,511.1,1414.6,27.5,46,4.3
SITE-0572,North,Forest,163.1,886.0,28.7,34,5.5
SITE-0573,Central,Grassland,896.3,1081.6,24.0,33,2.3
SITE-0574,North,Forest,505.5,1009.3,25.3,41,3.0
SITE-0575,South,Grassland,524.1,919.0,25.9,27,9.8
SITE-0576,Central,Forest,991.9,1482.1,23.5,48,5.0
SITE-0577,North,Forest,573.4,1217.0,25.6,39,11.9
SITE-0578,Central,Grassland,626.5,1388.5,24.7,37,4.1
SITE-0579,North,Forest,561.2,1049.7,25.6,41,12.0
SITE-0580,Central,Grassland,1112.8,507.2,21.8,17,1.2
SITE-0581,South,Forest,1030.4,1429.0,23.2,50,5.0
SITE-0582,Central,Grassland,727.4,801.8,24.3,26,7.9
SITE-0583,Central,Grassland,1382.9,866.8,20.1,30,9.0
SITE-0584,North,Forest,369.2,941.6,29.6,34,9.5
SITE-0585,North,Grassland,229.9,383.6,29.6,14,4.4
SITE-0586,South,Grassland,363.5,947.4,27.1,28,7.5
SITE-0587,Central,Grassland,542.4,1100.9,25.7,32,10.4
SITE-0588,North,Forest,729.5,698.8,23.9,31,6.9
SITE-0589,North,Forest,443.3,734.0,29.1,27,7.3
SITE-0590,North,Grassland,523.9,416.7,25.0,16,6.4
SITE-0591,North,Forest,402.9,651.1,29.0,19,8.1
SITE-0592,South,Forest,318.8,1311.8,29.5,41,8.3
SITE-0593,Central,Grassland,1185.7,1161.1,21.1,32,6.2
SITE-0594,Central,Forest,724.6,1276.5,26.2,49,6.0
SITE-0595,North,Forest,475.4,1287.2,28.1,42,1.5
SITE-0596,North,Forest,54.9,1124.7,30.7,33,8.5
SITE-0597,Central,Grassland,878.8,1131.1,24.6,32,1.0
SITE-0598,Central,Forest,615.1,1115.7,26.0,40,7.4
SITE-0599,Central,Forest,936.2,1546.0,24.1,48,15.0
SITE-0600,North,Grassland,270.8,417.7,26.8,3,3.2
SITE-0601,North,Grassland,40.0,699.7,27.1,23,3.1
SITE-0602,South,Grassland,413.4,1531.6,27.3,44,9.0
SITE-0603,North,Grassland,382.6,533.5,27.4,22,6.5
SITE-0604,Central,Grassland,548.0,1173.7,25.3,28,13.6
SITE-0605,Central,Forest,1109.8,1306.8,24.1,35,1.1
SITE-0606,Central,Forest,965.9,1358.9,23.0,45,15.0
SITE-0607,South,Grassland,290.9,1198.6,28.1,22,3.1
SITE-0608,South,Forest,505.0,1468.3,25.6,49,4.8
SITE-0609,South,Forest,1000.1,1668.9,21.6,44,2.6
SITE-0610,South,Grassland,796.1,1130.0,24.4,30,1.0
SITE-0611,North,Forest,472.9,1054.6,27.3,37,4.5
SITE-0612,South,Forest,553.8,1687.4,27.2,46,3.3
SITE-0613,North,Forest,802.0,901.2,27.0,28,2.0
SITE-0614,South,Grassland,546.7,1217.7,25.0,34,6.3
SITE-0615,South,Forest,267.9,1745.9,25.3,49,5.4
SITE-0616,Central,Forest,942.9,1062.2,23.4,42,1.6
SITE-0617,Central,Grassland,902.1,713.5,25.3,18,5.1
SITE-0618,Central,Grassland,639.9,900.9,22.9,29,7.6
SITE-0619,South,Grassland,746.1,1366.8,23.5,30,2.1
SITE-0620,Central,Grassland,812.7,954.3,23.8,33,5.7
SITE-0621,Central,Grassland,671.0,787.1,25.1,16,2.5
SITE-0622,North,Grassland,596.8,919.5,29.4,19,1.3
SITE-0623,Central,Forest,920.3,1081.2,23.2,36,2.0
SITE-0624,Central,Grassland,659.4,751.0,24.9,25,6.0
SITE-0625,Central,Grassland,740.6,1163.0,21.6,24,4.9
SITE-0626,North,Grassland,141.1,992.5,27.4,18,1.6
SITE-0627,Central,Grassland,1152.9,554.5,23.4,12,3.6
SITE-0628,South,Forest,612.0,1418.3,25.7,45,1.9
SITE-0629,Central,Grassland,595.8,1105.0,25.8,31,5.1
SITE-0630,Central,Grassland,656.2,1020.0,24.0,28,8.1
SITE-0631,South,Forest,214.9,1310.1,26.8,39,8.0
SITE-0632,South,Forest,533.5,1191.0,24.1,41,3.6
SITE-0633,Central,Grassland,337.0,1031.7,28.2,20,3.7
SITE-0634,Central,Forest,607.9,1354.8,25.1,41,1.4
SITE-0635,South,Grassland,391.9,1347.9,28.4,38,8.2
SITE-0636,South,Grassland,460.5,1366.8,28.8,32,11.2
SITE-0637,North,Grassland,483.0,600.3,27.1,14,1.8
SITE-0638,North,Grassland,171.9,731.4,30.7,15,8.8
SITE-0639,Central,Forest,562.2,1005.4,23.4,32,6.5
SITE-0640,South,Forest,386.3,1439.5,29.7,43,6.4
SITE-0641,Central,Grassland,985.7,617.2,25.0,20,4.0
SITE-0642,North,Grassland,293.9,510.2,29.6,4,3.2
SITE-0643,Central,Grassland,511.1,820.5,28.5,24,8.4
SITE-0644,North,Grassland,114.8,336.9,30.4,5,4.2
SITE-0645,Central,Grassland,927.4,1573.9,23.0,48,6.9
SITE-0646,North,Grassland,421.8,644.3,30.7,12,5.1
SITE-0647,Central,Forest,1227.2,942.5,20.3,37,13.7
SITE-0648,South,Forest,768.3,1609.6,26.0,57,5.8
SITE-0649,North,Grassland,407.7,1111.3,27.4,34,11.9
SITE-0650,North,Grassland,40.0,665.3,28.9,10,3.7
SITE-0651,North,Grassland,280.8,806.7,29.3,21,3.7
SITE-0652,North,Forest,233.9,970.6,28.2,35,8.7
SITE-0653,North,Forest,251.0,925.2,28.7,31,1.0
SITE-0654,North,Forest,57.6,741.6,31.4,22,5.9
SITE-0655,North,Forest,377.1,893.5,28.1,31,5.4
SITE-0656,Central,Grassland,587.9,882.2,27.0,25,2.8
SITE-0657,Central,Forest,1000.6,1081.2,22.4,35,4.2
SITE-0658,Central,Forest,1105.3,934.6,21.9,30,2.1
SITE-0659,South,Grassland,144.0,1173.5,27.6,38,3.0
SITE-0660,Central,Grassland,513.8,1061.5,24.7,33,9.9
SITE-0661,South,Forest,408.9,1354.5,26.7,41,6.7
SITE-0662,South,Forest,787.6,1400.7,24.8,43,3.6
SITE-0663,North,Forest,496.1,785.7,27.0,27,3.7
SITE-0664,Central,Grassland,1146.2,714.9,21.9,22,9.1
SITE-0665,North,Forest,389.6,1114.1,26.9,44,6.6
SITE-0666,Central,Grassland,486.1,433.9,24.7,3,1.0
SITE-0667,North,Forest,661.0,1140.9,23.6,40,8.7
SITE-0668,South,Grassland,84.0,1470.6,31.5,38,8.5
SITE-0669,Central,Forest,1085.8,1325.2,19.3,48,13.7
SITE-0670,South,Grassland,421.5,1371.6,27.9,37,2.4
SITE-0671,South,Forest,597.7,1504.8,24.3,49,4.9
SITE-0672,North,Grassland,415.8,557.5,26.4,14,6.4
SITE-0673,Central,Grassland,225.5,1234.7,27.2,32,8.7
SITE-0674,South,Forest,431.6,1505.9,27.2,38,4.3
SITE-0675,North,Forest,785.3,1024.4,26.4,44,7.8
SITE-0676,South,Forest,279.7,1525.4,28.5,50,4.9
SITE-0677,South,Grassland,531.4,1126.9,26.0,39,6.4
SITE-0678,South,Forest,480.4,1521.8,25.3,48,3.4
SITE-0679,South,Forest,511.6,1498.0,28.6,40,5.7
SITE-0680,South,Grassland,357.6,1037.1,25.5,27,6.4
SITE-0681,Central,Grassland,967.2,861.3,22.7,22,2.9
SITE-0682,North,Forest,182.7,783.0,27.7,25,3.3
SITE-0683,South,Grassland,288.6,1803.7,26.2,42,2.1
SITE-0684,South,Forest,401.9,1545.1,28.2,50,8.3
SITE-0685,Central,Grassland,966.3,1012.1,23.4,26,5.8
SITE-0686,South,Grassland,701.5,1150.0,25.5,31,4.7
SITE-0687,Central,Grassland,288.8,1131.3,27.8,21,6.0
SITE-0688,South,Forest,708.6,1193.7,24.2,35,4.6
SITE-0689,Central,Forest,529.6,1329.4,30.3,46,1.4
SITE-0690,North,Grassland,693.1,655.5,30.2,19,7.7
SITE-0691,Central,Forest,1065.0,1304.8,23.1,40,4.6
SITE-0692,Central,Forest,962.4,1017.2,23.4,38,8.1
SITE-0693,South,Grassland,438.2,1540.7,28.5,40,9.4
SITE-0694,Central,Forest,1037.1,1176.9,21.7,47,5.0
SITE-0695,Central,Grassland,771.4,1167.5,24.4,28,6.6
SITE-0696,North,Forest,89.9,1221.9,31.4,39,6.2
SITE-0697,South,Forest,499.2,1219.4,25.8,44,9.9
SITE-0698,North,Grassland,286.6,1048.0,29.0,26,12.8
SITE-0699,Central,Forest,755.9,1395.1,25.2,47,3.7
SITE-0700,Central,Forest,865.8,1264.6,24.0,35,6.7
SITE-0701,North,Grassland,541.8,988.1,28.1,23,6.3
SITE-0702,Central,Grassland,889.5,657.6,24.1,17,1.3
SITE-0703,Central,Forest,802.0,1400.8,25.8,45,3.3
SITE-0704,Central,Forest,846.8,1097.2,24.4,37,6.2
SITE-0705,Central,Forest,938.0,1213.3,22.6,48,6.0
SITE-0706,North,Grassland,47.8,597.6,29.0,14,6.5
SITE-0707,Central,Grassland,697.1,673.1,26.5,20,7.1
SITE-0708,South,Grassland,327.0,1011.3,27.3,29,3.4
SITE-0709,North,Grassland,431.5,897.5,27.1,25,8.1
SITE-0710,North,Forest,336.3,1183.0,28.2,41,3.2
SITE-0711,North,Forest,300.1,834.9,27.2,29,6.2
SITE-0712,Central,Forest,629.9,1139.3,24.2,32,14.2
SITE-0713,North,Forest,230.5,972.8,27.3,36,5.6
SITE-0714,North,Forest,261.9,537.7,29.1,30,3.3
SITE-0715,South,Forest,534.0,1360.0,27.2,43,12.3
SITE-0716,Central,Grassland,901.5,862.6,25.1,23,2.5
SITE-0717,Central,Grassland,1115.9,1348.5,19.7,41,5.7
SITE-0718,Central,Grassland,783.2,1095.4,24.4,28,5.6
SITE-0719,South,Grassland,257.3,1442.3,30.2,26,1.1
SITE-0720,Central,Forest,944.5,1729.1,24.6,44,6.4
